Abbreviation,Blank,Category,Cluster Group,Country,Created Month,Created Year,Date Created,Title,Title of Channel,Type,Youtuber,Average Channel Age,Created Date,Gross tertiary education enrollment (%),Highest Monthly Earnings,Highest Yearly Earnings,Latitude,Longitude,Lowest Monthly Earnings,Lowest Yearly Earnings,Measure Correlation Formula ,Measure Formula,Population,Rank,Subscribers,Subscribers For Last 30 Days,Total Countries Represented,Unemployment rate,Uploads,Urban population,Video Views,Video Views For The Last 30 Days
US,,Music,Cluster 1,United States,Jul,2006,31-07-2006,RomeoSantos,RomeoSantos,Music,Romeo Santos,18.813698630,31,88.2,0.4,5,37.09024,-95.712891,0.02,0.3,5,20900000,328239523,362,20900000,200000,1,14.7,6,270663028,17324976752,99
BR,,Comedy,Cluster 1,Brazil,Apr,2011,08-04-2011,Canal Canalha,Canal Canalha,Comedy,Canal Canalha,14.123287671,8,51.3,95600,1100000,-14.235004,-51.92528,6000,71700,1100000,20800000,212559417,363,20800000,200000,1,12.08,288,183241641,1870608170,23897000
DE,,Education,Cluster 4,Germany,Jul,2013,09-07-2013,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Education,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,11.868493151,9,70.2,117100,1400000,51.165691,10.451526,7300,87800,1400000,20800000,83132799,364,20800000,100000,1,3.04,193,64324835,2378448129,29269000
US,,Entertainment,Cluster 1,United States,Sep,2020,26-09-2020,Yoeslan,Yoeslan,Entertainment,Yoeslan,4.646575342,26,88.2,3500000,42000000,37.09024,-95.712891,218700,2600000,42000000,20700000,328239523,365,20700000,1000000,1,14.7,619,270663028,17963202261,874796000
US,,Howto & Style,Cluster 1,United States,Jan,2018,18-01-2018,5-Minute Crafts DIY,5-Minute Crafts DIY,Howto & Style,5-Minute Crafts DIY,7.336986301,18,88.2,80000,960600,37.09024,-95.712891,5000,60000,960600,20700000,328239523,366,20700000,200000,1,14.7,5062,270663028,5091618606,20012000
RU,,People & Blogs,Cluster 4,Russia,Oct,2015,26-10-2015,tuzelity SHUFFLE,tuzelity SHUFFLE,People & Blogs,tuzelity SHUFFLE,9.569863014,26,81.9,2200000,26500000,61.52401,105.318756,138100,1700000,26500000,20700000,144373535,368,20700000,1600000,1,4.59,889,107683889,8658941531,552266000
US,,Sports,Cluster 1,United States,Nov,2005,21-11-2005,NBA,NBA,Sports,NBA,19.504109589,21,88.2,292100,3500000,37.09024,-95.712891,18300,219100,3500000,20700000,328239523,369,20700000,200000,1,14.7,47926,270663028,12624879732,73025000
ID,,Entertainment,Cluster 2,Indonesia,Jul,2007,23-07-2007,deddycorbuzier,deddycorbuzier,Entertainment,Deddy Corbuzier,17.835616438,23,36.3,0.34,4,-0.789275,113.921327,0.02,0.26,4,20600000,270203917,370,20600000,1,1,4.69,15,151509724,4956090094,85
AR,,Comedy,Cluster 4,Argentina,Jan,2017,15-01-2017,Bizarrap,Bizarrap,Comedy,Bizarrap,8.345205479,15,90,772700,9300000,-38.416097,-63.616672,48300,579500,9300000,20600000,44938712,371,20600000,200000,1,9.79,83,41339571,7657171980,193176000
SE,,Music,Cluster 4,Sweden,Oct,2009,28-10-2009,Avicii,Avicii,Music,Avicii,15.567123288,28,67,324900,3900000,60.128161,18.643501,20300,243700,3900000,20600000,10285453,372,20600000,200000,1,6.48,156,9021165,10292874715,81236000
